pptname,invariant,invariantType,variables,postmanAssertion,tp,fp,enter,bug,group
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,LENGTH(return.rateFamilyEstimated.code)==3,daikon.inv.unary.string.FixedLengthString,(return.rateFamilyEstimated.code),pm.expect(return_rateFamilyEstimated_code).to.have.length(3),1,0,0,0,data.offers.rateFamilyEstimated.code
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,LENGTH(return.rateFamilyEstimated.type)==1,daikon.inv.unary.string.FixedLengthString,(return.rateFamilyEstimated.type),pm.expect(return_rateFamilyEstimated_type).to.have.length(1),1,0,0,0,data.offers.rateFamilyEstimated.type
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,LENGTH(return.category)==3,daikon.inv.unary.string.FixedLengthString,(return.category),pm.expect(return_category).to.have.length(3),1,0,0,0,data.offers.category
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,return.commission.percentage is Numeric,daikon.inv.unary.string.IsNumeric,(return.commission.percentage),"pm.expect(return_commission_percentage).to.match(/^[+-]{0,1}(0|([0-9](\d*|\d{0,2}(,\d{3})*)))?(\.\d*[0-9])?$/)",1,0,0,0,data.offers.commission.percentage
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,return.commission.amount is Numeric,daikon.inv.unary.string.IsNumeric,(return.commission.amount),"pm.expect(return_commission_amount).to.match(/^[+-]{0,1}(0|([0-9](\d*|\d{0,2}(,\d{3})*)))?(\.\d*[0-9])?$/)",1,0,0,0,data.offers.commission.amount
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,LENGTH(return.room.type)==3,daikon.inv.unary.string.FixedLengthString,(return.room.type),pm.expect(return_room_type).to.have.length(3),1,0,0,0,data.offers.room.type
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,LENGTH(return.room.description.lang)==2,daikon.inv.unary.string.FixedLengthString,(return.room.description.lang),pm.expect(return_room_description_lang).to.have.length(2),1,0,0,0,data.offers.room.description.lang
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,LENGTH(return.price.currency)==3,daikon.inv.unary.string.FixedLengthString,(return.price.currency),pm.expect(return_price_currency).to.have.length(3),1,0,0,0,data.offers.price.currency
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,return.price.total is Numeric,daikon.inv.unary.string.IsNumeric,(return.price.total),"pm.expect(return_price_total).to.match(/^[+-]{0,1}(0|([0-9](\d*|\d{0,2}(,\d{3})*)))?(\.\d*[0-9])?$/)",1,0,0,0,data.offers.price.total
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,return.price.base is Numeric,daikon.inv.unary.string.IsNumeric,(return.price.base),"pm.expect(return_price_base).to.match(/^[+-]{0,1}(0|([0-9](\d*|\d{0,2}(,\d{3})*)))?(\.\d*[0-9])?$/)",1,0,0,0,data.offers.price.base
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,return.price.variations.average.total is Numeric,daikon.inv.unary.string.IsNumeric,(return.price.variations.average.total),"pm.expect(return_price_variations_average_total).to.match(/^[+-]{0,1}(0|([0-9](\d*|\d{0,2}(,\d{3})*)))?(\.\d*[0-9])?$/)",1,0,0,0,data.offers.price.variations.average.total
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,return.price.variations.average.base is Numeric,daikon.inv.unary.string.IsNumeric,(return.price.variations.average.base),"pm.expect(return_price_variations_average_base).to.match(/^[+-]{0,1}(0|([0-9](\d*|\d{0,2}(,\d{3})*)))?(\.\d*[0-9])?$/)",1,0,0,0,data.offers.price.variations.average.base
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,All the elements of return.policies.guarantee.acceptedPayments.creditCards[] have LENGTH=2,daikon.inv.unary.stringsequence.SequenceFixedLengthString,(return.policies.guarantee.acceptedPayments.creditCards[..]),pm.expect(return_policies_guarantee_acceptedPayments_creditCards_array.every(element => element.length === 2)).to.be.true,1,0,0,0,data.offers.policies.guarantee.acceptedPayments.creditCards
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,All the elements of return.policies.deposit.acceptedPayments.creditCards[] have LENGTH=2,daikon.inv.unary.stringsequence.SequenceFixedLengthString,(return.policies.deposit.acceptedPayments.creditCards[..]),pm.expect(return_policies_deposit_acceptedPayments_creditCards_array.every(element => element.length === 2)).to.be.true,1,0,0,0,data.offers.policies.deposit.acceptedPayments.creditCards
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,LENGTH(return.policies.holdTime.deadline)==19,daikon.inv.unary.string.FixedLengthString,(return.policies.holdTime.deadline),pm.expect(return_policies_holdTime_deadline).to.have.length(19),1,0,0,0,data.offers.policies.holdTime.deadline
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,"return.policies.cancellation.type == ""FULL_STAY""",daikon.inv.unary.string.OneOfString,(return.policies.cancellation.type),"pm.expect([""FULL_STAY""].includes(return_policies_cancellation_type)).to.be.true",1,0,0,0,data.offers.policies.cancellation.type
