,group,invariant,endpoint,description,tp
0,Response,"LENGTH(return.Response)==4
return.Response == ""True""",get+,"{""type"": ""string"", ""enum"": [""True"", ""False""]}",1.0
1,Search.Poster,return.Poster is Url,get+,"{""type"": ""string"", ""example"": ""https://m.media-amazon.com/images/M/MV5BMTQxODE3NjM1Ml5BMl5BanBnXkFtZTcwMzkzNjc4OA@@._V1_SX300.jpg""}",1.0
2,Search.Type,input.type == return.Type,get+,Attribute type is responded to by parameter Response with a description: Return movie or series,1.0
3,totalResults,return.totalResults is Numeric,get+,"{""type"": ""string"", ""example"": 2}",1.0
