endpoint,group,description,tp,status,check_verify,_merge
get+businesses_search,businesses.is_closed,,1,satisfied,yes,both
get+businesses_search,businesses.name,,0,satisfied,yes,left_only
get+businesses_search,businesses.price,"{""""type"""": """"string"""", """"enum"""": [""""$"""", """"$$"""", """"$$$"""", """"$$$$"""", """"£"""", """"££"""", """"£££"""", """"££££"""", """"€"""", """"€€"""", """"€€€"""", """"€€€€"""", """"￥"""", """"￥￥"""", """"￥￥￥"""", """"￥￥￥￥""""]}",1,mismatched,yes,both
get+businesses_search,businesses.rating,"{""type"": ""number"", ""minimum"": 1, ""maximum"": 5} schema: {""type"": ""number"", ""minimum"": 1, ""maximum"": 5}",1,satisfied,yes,both
get+businesses_search,businesses.url,"{""type"": ""string""} schema: {""type"": ""string""}",1,satisfied,yes,both
